transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,high_risk_geo_flag,case_id
TX305822,CUST10882,2026-01-21,P2P,Credit,2725.73,United States,0,CASE0002
TX307595,CUST10882,2026-03-13,Card,Debit,55152.7,India,0,CASE0002
TX319120,CUST10882,2026-05-19,Card,Credit,5098.89,Nigeria,1,CASE0002
TX306013,CUST10882,2026-04-07,P2P,Credit,3076.5,Canada,0,CASE0002
TX316184,CUST10882,2026-05-27,Wire,Credit,20134.72,Russia,1,CASE0002
TX300863,CUST10882,2026-03-27,ACH,Debit,4221.09,India,0,CASE0002
TX316106,CUST10882,2026-03-17,P2P,Credit,90768.51,Mexico,0,CASE0002
TX301627,CUST10882,2026-05-15,ACH,Debit,982.09,Turkey,1,CASE0002
TX307762,CUST10882,2026-03-12,ACH,Debit,3284.5,Mexico,0,CASE0002
TX305804,CUST10882,2026-05-30,P2P,Debit,12745.54,China,0,CASE0002
TX303439,CUST10882,2026-07-12,Check,Debit,4591.62,Mexico,0,CASE0002
TX309429,CUST10882,2026-04-26,P2P,Credit,1392.74,United Arab Emirates,1,CASE0002
TX304708,CUST10882,2026-03-07,ACH,Credit,4431.31,China,0,CASE0002
TX312056,CUST10882,2026-03-22,P2P,Debit,12190.45,Nigeria,1,CASE0002
TX312487,CUST10882,2026-03-16,Wire,Debit,1972.56,United States,0,CASE0002
TX309252,CUST10882,2026-02-12,Wire,Debit,17230.14,Canada,0,CASE0002
TX314665,CUST10882,2026-04-22,Cash Deposit,Debit,24650.5,Russia,1,CASE0002
TX311572,CUST10882,2026-04-21,Cash Deposit,Debit,38253.15,India,0,CASE0002
TX318367,CUST10882,2026-06-07,ACH,Credit,10782.92,Canada,0,CASE0002
TX318624,CUST10882,2026-05-12,Cash Deposit,Credit,2459.62,Canada,0,CASE0002
TX312169,CUST10882,2026-09-02,P2P,Credit,3836.01,United States,0,CASE0002
TX319805,CUST10882,2026-06-19,Wire,Debit,3739.88,Russia,1,CASE0002
TX307353,CUST10882,2026-06-12,Cash Withdrawal,Debit,5183.06,Canada,0,CASE0002
TX300804,CUST10882,2026-01-29,Cash Deposit,Credit,4864.99,Canada,0,CASE0002
TX305659,CUST10882,2026-05-30,Card,Credit,5524.7,Mexico,0,CASE0002
TX303899,CUST10453,2026-05-31,Wire,Credit,8785.9,Nigeria,1,CASE0003
TX303961,CUST10453,2026-06-09,ACH,Credit,1062.81,United Arab Emirates,1,CASE0003
TX307707,CUST10453,2026-05-26,Cash Withdrawal,Debit,1981.65,Turkey,1,CASE0003
TX318817,CUST10453,2026-09-23,Wire,Debit,15098.71,Mexico,0,CASE0003
TX313642,CUST10453,2026-02-27,Cash Withdrawal,Debit,10717.57,China,0,CASE0003
TX316911,CUST10453,2026-08-04,Wire,Credit,1453.61,United States,0,CASE0003
TX310600,CUST10453,2026-05-03,Card,Debit,14322.59,India,0,CASE0003
TX316696,CUST10453,2026-04-08,Wire,Credit,12870.03,India,0,CASE0003
TX304087,CUST10453,2026-05-15,Cash Withdrawal,Debit,12527.25,Russia,1,CASE0003
TX310804,CUST10453,2026-08-19,Check,Credit,3378.99,Nigeria,1,CASE0003
TX320847,CUST10453,2026-01-19,P2P,Credit,8383.63,India,0,CASE0003
TX307305,CUST10453,2026-07-10,Check,Credit,929.04,United Kingdom,0,CASE0003
TX310590,CUST10453,2026-06-29,P2P,Debit,1672.96,United Arab Emirates,1,CASE0003
TX311503,CUST10453,2026-03-23,ACH,Debit,2088.41,Turkey,1,CASE0003
TX315209,CUST10453,2026-04-29,ACH,Debit,1300.14,Canada,0,CASE0003
TX306558,CUST10453,2026-04-07,P2P,Debit,3712.77,Turkey,1,CASE0003
TX309163,CUST10453,2026-04-08,Cash Withdrawal,Credit,8348.24,Mexico,0,CASE0003
TX314577,CUST10251,2026-05-24,Wire,Credit,15398.24,United Arab Emirates,1,CASE0004
TX317693,CUST10251,2026-09-20,Card,Debit,56230.18,Mexico,0,CASE0004
TX320246,CUST10251,2026-04-24,Wire,Credit,3657.8,China,0,CASE0004
TX319820,CUST10251,2026-04-01,Cash Deposit,Credit,3953.7,Turkey,1,CASE0004
TX314305,CUST10251,2026-01-08,Card,Credit,4699.12,United Arab Emirates,1,CASE0004
TX312720,CUST10251,2026-05-22,ACH,Credit,3366.23,Canada,0,CASE0004
TX307723,CUST10251,2026-02-21,Check,Credit,2647.46,Nigeria,1,CASE0004
TX307931,CUST10251,2026-04-19,Check,Debit,5907.68,Canada,0,CASE0004
TX303937,CUST10251,2026-08-14,Check,Credit,12224.2,United Kingdom,0,CASE0004
TX317409,CUST10251,2026-04-03,Cash Withdrawal,Debit,6682.05,Nigeria,1,CASE0004
TX307351,CUST10251,2026-08-26,Wire,Credit,34991.12,United Arab Emirates,1,CASE0004
TX308276,CUST10251,2026-05-07,Card,Credit,17517.78,India,0,CASE0004
TX301397,CUST10251,2026-05-21,Wire,Debit,5947.35,United States,0,CASE0004
TX315867,CUST10251,2026-01-25,Card,Credit,2586.31,China,0,CASE0004
TX319707,CUST10251,2026-03-26,ACH,Credit,31360.12,Russia,1,CASE0004
TX321200,CUST10251,2026-01-30,ACH,Debit,16580.61,United States,0,CASE0004
TX316246,CUST10251,2026-08-19,Cash Withdrawal,Debit,3234.77,Canada,0,CASE0004
TX305310,CUST10251,2026-06-13,Card,Debit,25988.63,Mexico,0,CASE0004
TX305464,CUST10251,2026-04-08,Wire,Debit,934.68,United States,0,CASE0004
TX304532,CUST10251,2026-08-25,Card,Debit,7836.23,Canada,0,CASE0004
TX301246,CUST10251,2026-03-26,Check,Credit,4130.96,United States,0,CASE0004
TX314066,CUST10251,2026-06-24,ACH,Credit,16108.86,United Arab Emirates,1,CASE0004
TX309962,CUST10251,2026-09-30,Wire,Credit,59232.03,India,0,CASE0004
TX300452,CUST10251,2026-01-17,P2P,Debit,4652.56,United Arab Emirates,1,CASE0004
TX314669,CUST10251,2026-02-16,Card,Debit,520.5,United Arab Emirates,1,CASE0004
TX318227,CUST10433,2026-09-03,ACH,Debit,7909.09,India,0,CASE0005
TX318124,CUST10433,2026-04-07,Cash Deposit,Debit,58462.28,United Kingdom,0,CASE0005
TX320251,CUST10433,2026-07-19,Check,Debit,4183.31,India,0,CASE0005
TX300036,CUST10433,2026-08-14,P2P,Debit,411269.25,Mexico,0,CASE0005
TX305792,CUST10433,2026-08-12,Wire,Credit,5155.71,Turkey,1,CASE0005
TX300406,CUST10433,2026-08-06,Cash Withdrawal,Credit,14023.97,United Arab Emirates,1,CASE0005
TX317550,CUST10433,2026-04-26,Wire,Credit,676.13,China,0,CASE0005
TX313706,CUST10433,2026-04-25,Wire,Debit,14320.13,Canada,0,CASE0005
TX307882,CUST10433,2026-06-17,ACH,Debit,4426.92,China,0,CASE0005
TX308743,CUST10433,2026-08-25,Wire,Credit,9110.9,Nigeria,1,CASE0005
TX307476,CUST10433,2026-02-27,Card,Debit,4964.07,Nigeria,1,CASE0005
TX311746,CUST10433,2026-01-24,ACH,Debit,3011.76,United States,0,CASE0005
TX304384,CUST10433,2026-06-06,P2P,Debit,9290.06,Nigeria,1,CASE0005
TX301683,CUST10433,2026-03-17,ACH,Debit,23913.9,Russia,1,CASE0005
TX321333,CUST10433,2026-09-17,P2P,Debit,8552.33,United Kingdom,0,CASE0005
TX305187,CUST10433,2026-09-18,Wire,Debit,4990.45,China,0,CASE0005
TX321349,CUST10433,2026-03-04,Wire,Debit,2662.99,United States,0,CASE0005
TX304791,CUST10433,2026-06-26,Check,Debit,1931.03,Mexico,0,CASE0005
TX300390,CUST10433,2026-08-14,Wire,Debit,2902.27,United Kingdom,0,CASE0005
TX300772,CUST10433,2026-03-05,Wire,Debit,101484.7,China,0,CASE0005
TX305415,CUST10433,2026-06-01,Check,Debit,1430.49,China,0,CASE0005
TX313077,CUST10433,2026-07-03,ACH,Credit,7072.35,Mexico,0,CASE0005
TX306474,CUST10433,2026-03-15,Wire,Credit,6824.68,China,0,CASE0005
TX311676,CUST10433,2026-09-22,ACH,Debit,2808.28,Turkey,1,CASE0005
TX314470,CUST10433,2026-04-22,Wire,Debit,4005.08,Russia,1,CASE0005
TX318283,CUST10261,2026-05-23,Check,Debit,9566.08,United Kingdom,0,CASE0006
TX317913,CUST10261,2026-02-04,ACH,Debit,9229.54,Turkey,1,CASE0006
TX307515,CUST10261,2026-07-01,ACH,Credit,3074.1,Turkey,1,CASE0006
TX315048,CUST10261,2026-09-24,Check,Credit,1565.93,China,0,CASE0006
TX314440,CUST10261,2026-07-17,Cash Deposit,Debit,2400.02,Russia,1,CASE0006
TX315382,CUST10261,2026-06-30,Cash Deposit,Debit,917.01,Nigeria,1,CASE0006
TX309018,CUST10261,2026-03-08,ACH,Debit,12457.34,United States,0,CASE0006
TX300686,CUST10261,2026-09-06,Wire,Credit,3797.46,Canada,0,CASE0006
TX301800,CUST10261,2026-08-01,Wire,Debit,8074.43,United Arab Emirates,1,CASE0006
TX314992,CUST10261,2026-09-18,Wire,Credit,4903.24,Turkey,1,CASE0006
TX319330,CUST10261,2026-01-19,ACH,Credit,5922.85,United States,0,CASE0006
TX315650,CUST10261,2026-02-24,P2P,Debit,15969.96,Nigeria,1,CASE0006
TX321790,CUST10261,2026-03-15,Wire,Credit,2144.14,United States,0,CASE0006
TX300545,CUST10261,2026-01-14,Cash Withdrawal,Debit,7252.98,Nigeria,1,CASE0006
TX300237,CUST10261,2026-03-23,Wire,Credit,2848.72,United Arab Emirates,1,CASE0006
TX300605,CUST10261,2026-09-05,Wire,Debit,3809.46,United Arab Emirates,1,CASE0006
TX308269,CUST10261,2026-05-03,Wire,Credit,4593.12,Canada,0,CASE0006
TX310474,CUST10261,2026-01-30,Wire,Debit,7296.14,China,0,CASE0006
TX317350,CUST10261,2026-09-07,ACH,Credit,1461.49,Nigeria,1,CASE0006
TX318158,CUST10261,2026-05-02,ACH,Credit,6013.93,Nigeria,1,CASE0006
TX318207,CUST10261,2026-09-02,Card,Debit,16263.71,Nigeria,1,CASE0006
TX317577,CUST10261,2026-08-25,Wire,Credit,1318.19,Turkey,1,CASE0006
TX320752,CUST10261,2026-03-28,Wire,Credit,2654.57,United Kingdom,0,CASE0006
TX320055,CUST10261,2026-05-15,Check,Credit,5322.82,China,0,CASE0006
TX303518,CUST10261,2026-05-20,Check,Debit,17166.81,United States,0,CASE0006
TX305199,CUST10676,2026-07-26,Wire,Debit,60262.64,United Kingdom,0,CASE0007
TX310371,CUST10676,2026-05-25,ACH,Debit,9779.37,Russia,1,CASE0007
TX304675,CUST10676,2026-08-13,Check,Debit,499.47,Canada,0,CASE0007
TX305884,CUST10676,2026-08-03,ACH,Credit,2032.75,Russia,1,CASE0007
TX305498,CUST10676,2026-07-18,ACH,Credit,14008.56,United Arab Emirates,1,CASE0007
TX321578,CUST10676,2026-04-19,P2P,Debit,46169.07,Mexico,0,CASE0007
TX302171,CUST10676,2026-05-30,ACH,Credit,4152.19,United States,0,CASE0007
TX311434,CUST10676,2026-06-05,P2P,Debit,11727.8,Mexico,0,CASE0007
TX313374,CUST10676,2026-04-18,Card,Debit,525.16,India,0,CASE0007
TX306999,CUST10676,2026-07-02,ACH,Debit,584.23,Mexico,0,CASE0007
TX321512,CUST10676,2026-09-16,Card,Debit,3000.37,Turkey,1,CASE0007
TX300367,CUST10676,2026-03-30,Wire,Credit,2954.25,United Arab Emirates,1,CASE0007
TX306478,CUST10676,2026-02-03,Cash Deposit,Credit,3036.8,United Arab Emirates,1,CASE0007
TX307187,CUST10676,2026-05-21,Card,Debit,2384.79,Turkey,1,CASE0007
TX309418,CUST10676,2026-05-23,P2P,Debit,10548.41,United Kingdom,0,CASE0007
TX303078,CUST10676,2026-03-31,Card,Credit,6257.81,China,0,CASE0007
TX308838,CUST10676,2026-02-18,Check,Debit,7049.69,Turkey,1,CASE0007
TX316342,CUST10676,2026-04-15,Wire,Credit,10458.54,United States,0,CASE0007
TX312061,CUST10676,2026-05-26,Card,Debit,2634.85,Mexico,0,CASE0007
TX316810,CUST10676,2026-04-08,Wire,Debit,25373.89,United States,0,CASE0007
TX319543,CUST10676,2026-05-16,Cash Deposit,Debit,3197.19,Canada,0,CASE0007
TX321487,CUST10676,2026-04-01,P2P,Debit,9936.54,United Arab Emirates,1,CASE0007
TX317052,CUST10676,2026-09-15,Wire,Debit,3882.0,Russia,1,CASE0007
TX311672,CUST10676,2026-04-13,Wire,Debit,4408.01,Turkey,1,CASE0007
TX307495,CUST10676,2026-02-05,Wire,Credit,21885.95,China,0,CASE0007
TX303268,CUST10229,2026-01-28,P2P,Credit,19190.06,China,0,CASE0008
TX314841,CUST10229,2026-08-03,Cash Deposit,Credit,1559.38,United States,0,CASE0008
TX318119,CUST10229,2026-02-22,Check,Credit,18527.85,United States,0,CASE0008
TX318510,CUST10229,2026-07-07,Check,Credit,5902.75,China,0,CASE0008
TX308710,CUST10229,2026-02-01,Check,Debit,23097.17,India,0,CASE0008
TX310344,CUST10229,2026-01-01,ACH,Credit,2826.8,United States,0,CASE0008
TX318208,CUST10229,2026-04-25,Wire,Debit,2898.89,United States,0,CASE0008
TX320520,CUST10229,2026-03-31,Cash Deposit,Credit,3196.73,United States,0,CASE0008
TX314280,CUST10229,2026-03-24,Wire,Debit,2717.37,Nigeria,1,CASE0008
TX306260,CUST10229,2026-06-16,Card,Credit,11930.21,India,0,CASE0008
TX301035,CUST10229,2026-05-19,Card,Debit,18247.87,Turkey,1,CASE0008
TX306062,CUST10229,2026-06-02,ACH,Credit,6437.57,United States,0,CASE0008
TX320473,CUST10229,2026-02-26,ACH,Credit,4856.76,Canada,0,CASE0008
TX311248,CUST10229,2026-03-28,Card,Credit,31739.08,United Arab Emirates,1,CASE0008
TX302093,CUST10229,2026-02-25,ACH,Debit,2977.99,Russia,1,CASE0008
TX318904,CUST10229,2026-09-20,Card,Credit,5393.25,Turkey,1,CASE0008
TX315297,CUST10229,2026-07-28,Cash Withdrawal,Credit,5340.63,China,0,CASE0008
TX314947,CUST10229,2026-03-08,Check,Debit,3089.81,United Kingdom,0,CASE0008
TX308298,CUST10229,2026-09-06,ACH,Credit,1395.45,United Kingdom,0,CASE0008
TX305970,CUST10229,2026-01-16,Wire,Credit,14026.71,Nigeria,1,CASE0008
TX303710,CUST10229,2026-02-20,ACH,Debit,8959.08,Canada,0,CASE0008
TX304129,CUST10229,2026-01-24,P2P,Credit,740.17,United States,0,CASE0008
TX319333,CUST10229,2026-09-12,Card,Debit,735.1,Russia,1,CASE0008
TX318897,CUST10229,2026-01-30,Cash Deposit,Debit,14153.28,United Arab Emirates,1,CASE0008
TX312349,CUST10229,2026-07-13,ACH,Debit,6396.33,Turkey,1,CASE0008
TX310530,CUST10184,2026-02-13,Check,Debit,9138.15,Turkey,1,CASE0009
TX311532,CUST10184,2026-03-29,Wire,Debit,132.86,Mexico,0,CASE0009
TX306167,CUST10184,2026-05-18,Card,Credit,2768.08,Russia,1,CASE0009
TX308225,CUST10184,2026-05-19,P2P,Debit,4972.66,Mexico,0,CASE0009
TX309474,CUST10184,2026-06-10,Cash Deposit,Debit,8032.46,United Arab Emirates,1,CASE0009
TX306468,CUST10184,2026-04-12,P2P,Debit,3737.55,United Kingdom,0,CASE0009
TX311420,CUST10184,2026-09-05,P2P,Credit,2561.42,Canada,0,CASE0009
TX307955,CUST10184,2026-07-03,Card,Credit,652.24,United States,0,CASE0009
TX303055,CUST10184,2026-01-25,ACH,Credit,8320.76,Canada,0,CASE0009
TX316789,CUST10184,2026-02-21,Card,Credit,26358.83,Mexico,0,CASE0009
TX311012,CUST10184,2026-06-23,Wire,Debit,2622.83,United Kingdom,0,CASE0009
TX300645,CUST10184,2026-08-16,P2P,Credit,15279.78,Turkey,1,CASE0009
TX312465,CUST10184,2026-01-06,Cash Deposit,Credit,2075.05,United States,0,CASE0009
TX309288,CUST10184,2026-02-28,Check,Credit,14505.31,Canada,0,CASE0009
TX301495,CUST10184,2026-06-11,Check,Debit,36692.86,Nigeria,1,CASE0009
TX318405,CUST10822,2026-09-30,P2P,Debit,3832.44,Turkey,1,CASE0010
TX309469,CUST10822,2026-05-28,ACH,Debit,5457.57,Mexico,0,CASE0010
TX310998,CUST10822,2026-06-17,Wire,Credit,9781.59,China,0,CASE0010
TX312229,CUST10822,2026-01-03,Cash Withdrawal,Debit,19351.14,United Arab Emirates,1,CASE0010
TX319595,CUST10822,2026-07-08,P2P,Debit,15373.09,United States,0,CASE0010
TX311200,CUST10822,2026-01-30,Cash Withdrawal,Credit,1870.46,India,0,CASE0010
TX309023,CUST10822,2026-03-18,Cash Withdrawal,Debit,1047.29,Russia,1,CASE0010
TX321217,CUST10822,2026-06-11,ACH,Debit,7095.33,United Kingdom,0,CASE0010
TX309545,CUST10822,2026-03-23,Wire,Credit,1098.82,Canada,0,CASE0010
TX320373,CUST10822,2026-03-08,ACH,Credit,6078.54,Mexico,0,CASE0010
TX313786,CUST10822,2026-03-03,P2P,Credit,2528.55,United Kingdom,0,CASE0010
TX305430,CUST10822,2026-04-07,ACH,Credit,5643.23,Russia,1,CASE0010
TX311009,CUST10822,2026-08-01,Check,Credit,1772.91,Turkey,1,CASE0010
TX310042,CUST10822,2026-04-06,Check,Credit,6449.49,India,0,CASE0010
TX312095,CUST10822,2026-07-31,Wire,Credit,19300.9,United Arab Emirates,1,CASE0010
TX306288,CUST10822,2026-09-19,Wire,Credit,11780.92,United Kingdom,0,CASE0010
TX309021,CUST10822,2026-07-09,Wire,Credit,3350.1,United Arab Emirates,1,CASE0010
TX321746,CUST10822,2026-07-21,ACH,Debit,5544.91,United Kingdom,0,CASE0010
TX307085,CUST10822,2026-09-16,Card,Credit,71354.51,United States,0,CASE0010
TX301102,CUST10822,2026-03-09,Cash Withdrawal,Credit,13162.85,China,0,CASE0010
TX319843,CUST10822,2026-08-03,P2P,Credit,16976.39,United Kingdom,0,CASE0010
TX321845,CUST10822,2026-03-04,Wire,Credit,3501.05,United Kingdom,0,CASE0010
TX320202,CUST10822,2026-03-30,Cash Withdrawal,Debit,2479.11,Mexico,0,CASE0010
TX311366,CUST10822,2026-02-27,Cash Deposit,Debit,5253.38,India,0,CASE0010
TX320591,CUST10822,2026-03-13,P2P,Debit,11514.48,United States,0,CASE0010
TX308180,CUST10352,2026-01-28,Wire,Credit,18773.49,China,0,CASE0011
TX310093,CUST10352,2026-05-21,Wire,Credit,12374.34,Russia,1,CASE0011
TX320446,CUST10352,2026-01-06,Card,Debit,17713.39,India,0,CASE0011
TX317218,CUST10352,2026-08-07,ACH,Credit,3243.81,United Arab Emirates,1,CASE0011
TX313508,CUST10352,2026-08-25,ACH,Debit,28076.78,United States,0,CASE0011
TX315663,CUST10352,2026-02-02,ACH,Credit,6572.77,Nigeria,1,CASE0011
TX313398,CUST10352,2026-09-26,Wire,Credit,3099.84,India,0,CASE0011
TX311112,CUST10352,2026-02-08,Check,Debit,2879.77,United States,0,CASE0011
TX314010,CUST10352,2026-06-22,Cash Withdrawal,Credit,8623.33,United States,0,CASE0011
TX317001,CUST10352,2026-07-05,Card,Debit,3442.31,Turkey,1,CASE0011
TX311479,CUST10352,2026-07-24,Wire,Credit,3855.69,United Arab Emirates,1,CASE0011
TX318342,CUST10352,2026-02-23,ACH,Credit,13033.01,Mexico,0,CASE0011
TX314711,CUST10352,2026-05-11,Card,Credit,4242.75,Turkey,1,CASE0011
TX312614,CUST10352,2026-02-07,Wire,Debit,2857.64,United States,0,CASE0011
TX314570,CUST10352,2026-02-22,ACH,Debit,2890.55,Nigeria,1,CASE0011
TX315109,CUST10352,2026-09-02,Wire,Credit,8222.29,Nigeria,1,CASE0011
TX320500,CUST10352,2026-03-16,Wire,Debit,460.6,India,0,CASE0011
TX311763,CUST10352,2026-05-31,P2P,Credit,40517.13,Nigeria,1,CASE0011
TX321806,CUST10352,2026-07-29,P2P,Debit,4956.75,United Arab Emirates,1,CASE0011
TX314287,CUST10352,2026-07-22,Card,Credit,17169.5,Russia,1,CASE0011
TX316031,CUST10490,2026-03-02,ACH,Debit,2992.42,Turkey,1,CASE0012
TX315064,CUST10490,2026-05-30,Check,Credit,1159.77,United Arab Emirates,1,CASE0012
TX321810,CUST10490,2026-01-14,Cash Deposit,Debit,28091.83,India,0,CASE0012
TX305673,CUST10490,2026-05-16,Wire,Debit,24626.04,United Arab Emirates,1,CASE0012
TX309497,CUST10490,2026-01-19,Cash Deposit,Debit,1784.36,United Arab Emirates,1,CASE0012
TX304746,CUST10490,2026-03-11,Card,Debit,15439.18,United Arab Emirates,1,CASE0012
TX309487,CUST10490,2026-08-29,Wire,Credit,26999.45,India,0,CASE0012
TX312706,CUST10490,2026-04-25,P2P,Debit,11189.74,Nigeria,1,CASE0012
TX310737,CUST10490,2026-09-15,Wire,Credit,12357.9,China,0,CASE0012
TX319280,CUST10490,2026-03-26,Check,Credit,6734.36,China,0,CASE0012
TX308067,CUST10490,2026-03-03,ACH,Debit,7322.2,India,0,CASE0012
TX308405,CUST10490,2026-06-23,Cash Deposit,Debit,2312.84,China,0,CASE0012
TX307782,CUST10490,2026-02-05,Cash Deposit,Debit,2437.45,China,0,CASE0012
TX303948,CUST10490,2026-05-02,Cash Deposit,Credit,17858.14,Russia,1,CASE0012
TX315672,CUST10490,2026-09-03,ACH,Credit,6834.78,Nigeria,1,CASE0012
TX314187,CUST10490,2026-02-28,P2P,Debit,5630.37,India,0,CASE0012
TX300625,CUST10490,2026-03-05,Card,Credit,3995.39,India,0,CASE0012
TX321177,CUST10490,2026-08-11,Check,Debit,675.42,United Arab Emirates,1,CASE0012
TX300193,CUST10527,2026-01-23,Wire,Debit,11947.06,Mexico,0,CASE0013
TX319528,CUST10527,2026-04-16,Cash Withdrawal,Debit,2916.1,India,0,CASE0013
TX313277,CUST10527,2026-06-29,Cash Deposit,Credit,5370.82,Turkey,1,CASE0013
TX317801,CUST10527,2026-08-20,ACH,Credit,1273.71,United Kingdom,0,CASE0013
TX307989,CUST10527,2026-04-05,Wire,Credit,8081.08,United Kingdom,0,CASE0013
TX310263,CUST10527,2026-07-26,Cash Withdrawal,Debit,25863.94,Mexico,0,CASE0013
TX301285,CUST10527,2026-09-06,ACH,Credit,26922.05,Russia,1,CASE0013
TX304390,CUST10527,2026-09-23,P2P,Debit,37772.7,India,0,CASE0013
TX314540,CUST10527,2026-04-10,Cash Deposit,Credit,888.32,Mexico,0,CASE0013
TX319418,CUST10527,2026-02-22,P2P,Credit,17410.14,United Kingdom,0,CASE0013
TX313580,CUST10527,2026-05-18,Cash Withdrawal,Credit,4448.69,United States,0,CASE0013
TX309489,CUST10527,2026-01-04,Check,Debit,28090.72,Nigeria,1,CASE0013
TX310166,CUST10527,2026-03-08,Wire,Debit,2734.03,Turkey,1,CASE0013
TX320229,CUST10527,2026-02-28,Cash Deposit,Credit,889.27,United Arab Emirates,1,CASE0013
TX300622,CUST10527,2026-07-13,Card,Debit,17869.31,United Arab Emirates,1,CASE0013
TX320699,CUST10527,2026-08-12,Wire,Credit,2553.7,China,0,CASE0013
TX310116,CUST10527,2026-07-16,P2P,Debit,5506.57,Russia,1,CASE0013
TX303648,CUST10527,2026-04-18,Cash Deposit,Credit,1238.31,Russia,1,CASE0013
TX315469,CUST10527,2026-05-15,Wire,Credit,2800.52,United Arab Emirates,1,CASE0013
TX306789,CUST10527,2026-03-27,Check,Debit,2833.59,United Arab Emirates,1,CASE0013
TX317447,CUST10527,2026-04-04,P2P,Debit,1754.3,Turkey,1,CASE0013
TX310011,CUST10527,2026-04-19,ACH,Debit,13870.52,United States,0,CASE0013
TX317173,CUST10527,2026-04-29,Card,Debit,9335.59,Turkey,1,CASE0013
TX319222,CUST10081,2026-05-15,Wire,Debit,2887.21,India,0,CASE0014
TX310395,CUST10081,2026-01-20,P2P,Credit,962.7,Turkey,1,CASE0014
TX311858,CUST10081,2026-07-09,Cash Deposit,Debit,1629.76,Nigeria,1,CASE0014
TX316731,CUST10081,2026-03-08,ACH,Credit,8874.53,Mexico,0,CASE0014
TX319272,CUST10081,2026-01-23,Cash Deposit,Debit,1800.73,China,0,CASE0014
TX314650,CUST10081,2026-01-14,ACH,Credit,19837.37,United Arab Emirates,1,CASE0014
TX310204,CUST10081,2026-05-03,Cash Deposit,Debit,17839.29,India,0,CASE0014
TX320577,CUST10081,2026-07-21,ACH,Debit,12265.35,Russia,1,CASE0014
TX310411,CUST10081,2026-07-03,Check,Credit,11247.88,Canada,0,CASE0014
TX320207,CUST10081,2026-01-02,P2P,Debit,26556.01,United Arab Emirates,1,CASE0014
TX317641,CUST10081,2026-05-08,Wire,Credit,4782.22,Russia,1,CASE0014
TX305449,CUST10081,2026-07-10,Wire,Credit,15007.65,Turkey,1,CASE0014
TX312785,CUST10081,2026-09-30,Cash Deposit,Credit,1161.72,United States,0,CASE0014
TX311125,CUST10081,2026-09-01,ACH,Debit,7956.38,Turkey,1,CASE0014
TX316399,CUST10081,2026-01-03,Check,Credit,2083.75,United Arab Emirates,1,CASE0014
TX307436,CUST10081,2026-06-05,ACH,Credit,8489.69,Turkey,1,CASE0014
TX309155,CUST10081,2026-03-13,Cash Deposit,Debit,2504.59,United Kingdom,0,CASE0014
TX321581,CUST10081,2026-02-17,P2P,Credit,23170.57,Canada,0,CASE0014
TX307834,CUST10081,2026-04-25,Wire,Credit,4372.99,India,0,CASE0014
TX303330,CUST10081,2026-03-28,Check,Credit,1470.99,Turkey,1,CASE0014
TX321608,CUST10081,2026-08-27,Card,Credit,1407.56,United States,0,CASE0014
TX315561,CUST10081,2026-02-24,P2P,Credit,3585.9,United Kingdom,0,CASE0014
